(157, 'Garulia', '22.83 N', '88.37 E', 'West Bengal', 'Bengali'),
(158, 'Gayespur', '22.98 N', '88.51 E', 'West Bengal', 'Bengali'),
(159, 'Ghatal', '22.67 N', '87.72 E', 'West Bengal', 'Bengali'),
(160, 'Gopalpur', '19.26 N', '84.86 E', 'West Bengal', 'Bengali'),
(161, 'Habra', '22.84 N', '88.62 E', 'West Bengal', 'Bengali'),
(162, 'Halisahar', '22.95 N', '88.42 E', 'West Bengal', 'Bengali'),
(163, 'Haora', '22.58 N', '88.33 E', 'West Bengal', 'Bengali'),
(164, 'HugliChunchura', '22.91 N', '88.40 E', 'West Bengal', 'Bengali'),
(165, 'Ingraj Bazar', '25.01 N', '88.14 E', 'West Bengal', 'Bengali'),
(166, 'Islampur', '26.27 N', '88.20 E', 'West Bengal', 'Bengali'),
(167, 'Jalpaiguri', '26.53 N', '88.71 E', 'West Bengal', 'Bengali'),
(168, 'Jamuria', '23.70 N', '87.08 E', 'West Bengal', 'Bengali'),
(169, 'Jangipur', '24.47 N', '88.07 E', 'West Bengal', 'Bengali'),
(170, 'Jhargram', '22.45 N', '86.98 E', 'West Bengal', 'Bengali'),
(171, 'Kaliyaganj', '25.63 N', '88.32 E', 'West Bengal', 'Bengali'),
(172, 'Kalna', '23.22 N', '88.37 E', 'West Bengal', 'Bengali'),
(173, 'Kalyani', '22.98 N', '88.48 E', 'West Bengal', 'Bengali'),
(174, 'Kamarhati', '22.67 N', '88.37 E', 'West Bengal', 'Bengali'),
(175, 'Kanchrapara', '22.95 N', '88.45 E', 'West Bengal', 'Bengali'),
(176, 'Kandi', '23.95 N', '88.03 E', 'West Bengal', 'Bengali'),
(177, 'Karsiyang', '26.88 N', '88.28 E', 'West Bengal', 'Bengali'),
(178, 'Katwa', '23.65 N', '88.13 E', 'West Bengal', 'Bengali'),
(179, 'Kharagpur', '22.34 N', '87.31 E', 'West Bengal', 'Bengali'),
(180, 'Kharagpur Railway Settlement', '22.34 N', '87.26 E', 'West Bengal', 'Bengali'),
(181, 'Khardaha', '22.73 N', '88.38 E', 'West Bengal', 'Bengali'),
(182, 'Dharamsala', '32.21 N', '76.32 E', 'Himachal Pradesh', 'Hindi'),
(183, 'Koch Bihar', '26.33 N', '89.46 E', 'West Bengal', 'Bengali'),
(184, 'Konnagar', '22.70 N', '88.36 E', 'West Bengal', 'Bengali'),
(185, 'Krishnanagar', '23.41 N', '88.51 E', 'West Bengal', 'Bengali'),
(186, 'Kulti', '23.72 N', '86.89 E', 'West Bengal', 'Bengali'),
(187, 'Madhyamgram', '22.70 N', '88.45 E', 'West Bengal', 'Bengali'),
(188, 'Maheshtala', '22.51 N', '88.23 E', 'West Bengal', 'Bengali'),
(189, 'Memari', '23.20 N', '88.12 E', 'West Bengal', 'Bengali'),
(190, 'Midnapur', '22.33 N', '87.15 E', 'West Bengal', 'Bengali'),
(191, 'Naihati', '22.91 N', '88.43 E', 'West Bengal', 'Bengali'),
(192, 'Navadwip', '23.42 N', '88.37 E', 'West Bengal', 'Bengali'),
(193, 'Ni Barakpur', '22.77 N', '88.36 E', 'West Bengal', 'Bengali'),
(194, 'North Barakpur', '22.78 N', '88.37 E', 'West Bengal', 'Bengali'),
(195, 'North Dum Dum', '22.64 N', '88.41 E', 'West Bengal', 'Bengali'),
(196, 'Old Maldah', '25.05 N', '88.13 E', 'West Bengal', 'Bengali'),
(197, 'Panihati', '22.69 N', '88.37 E', 'West Bengal', 'Bengali'),
(198, 'Phulia', '23.24 N', '88.50 E', 'West Bengal', 'Bengali'),
(199, 'Pujali', '22.47 N', '88.15 E', 'West Bengal', 'Bengali'),
(200, 'Puruliya', '23.34 N', '86.36 E', 'West Bengal', 'Bengali'),
(201, 'Raiganj', '25.62 N', '88.12 E', 'West Bengal', 'Bengali'),
(202, 'Rajpur', '22.44 N', '88.44 E', 'West Bengal', 'Bengali'),
(203, 'Rampur Hat', '24.17 N', '87.78 E', 'West Bengal', 'Bengali'),
(204, 'Ranaghat', '23.19 N', '88.58 E', 'West Bengal', 'Bengali'),
(205, 'Raniganj', '23.62 N', '87.11 E', 'West Bengal', 'Bengali'),
(206, 'Rishra', '22.71 N', '88.36 E', 'West Bengal', 'Bengali'),
(207, 'Shantipur', '23.26 N', '88.44 E', 'West Bengal', 'Bengali'),
(208, 'Shiliguri', '26.73 N', '88.42 E', 'West Bengal', 'Bengali'),
(209, 'Shrirampur', '22.74 N', '88.35 E', 'West Bengal', 'Bengali'),
(210, 'Siuri', '23.91 N', '87.53 E', 'West Bengal', 'Bengali'),
(211, 'South Dum Dum', '22.61 N', '88.41 E', 'West Bengal', 'Bengali'),
(212, 'Titagarh', '22.74 N', '88.38 E', 'West Bengal', 'Bengali'),
(213, 'Ulubaria', '22.47 N', '88.11 E', 'West Bengal', 'Bengali'),
(214, 'UttarparaKotrung', '22.66 N', '88.35 E', 'West Bengal', 'Bengali'),
(215, 'Araria', '26.15 N', '87.52 E', 'Bihar', 'Hindi'),
(216, 'Arrah', '25.56 N', '84.66 E', 'Bihar', 'Hindi'),
(217, 'Aurangabad', '24.75 N', '84.37 E', 'Bihar', 'Hindi'),
(218, 'Bagaha', '27.10 N', '84.09 E', 'Bihar', 'Hindi'),
(219, 'Begusarai', '25.42 N', '86.12 E', 'Bihar', 'Hindi'),
(220, 'Bettiah', '26.81 N', '84.50 E', 'Bihar', 'Hindi'),
(221, 'Bhabua', '25.05 N', '83.62 E', 'Bihar', 'Hindi'),
(222, 'Bhagalpur', '25.26 N', '86.98 E', 'Bihar', 'Hindi'),
(223, 'Bihar', '25.21 N', '85.52 E', 'Bihar', 'Hindi'),
(224, 'Buxar', '25.58 N', '83.98 E', 'Bihar', 'Hindi'),
(225, 'Chhapra', '25.78 N', '84.72 E', 'Bihar', 'Hindi'),
(226, 'Darbhanga', '26.16 N', '85.88 E', 'Bihar', 'Hindi'),
(227, 'Dehri', '24.91 N', '84.18 E', 'Bihar', 'Hindi'),
(228, 'Kamand', '31.77 N', '76.99 E', 'Himachal Pradesh', 'Hindi'),
(229, 'Dinapur', '25.64 N', '85.04 E', 'Bihar', 'Hindi'),
(230, 'Dumraon', '25.55 N', '84.15 E', 'Bihar', 'Hindi'),
(231, 'Gaya', '24.81 N', '85.00 E', 'Bihar', 'Hindi'),
(232, 'Gopalganj', '26.47 N', '84.43 E', 'Bihar', 'Hindi'),
(233, 'Goura', '37.93 N', '22.34 E', 'Bihar', 'Hindi'),
(234, 'Hajipur', '25.68 N', '85.21 E', 'Bihar', 'Hindi'),
(235, 'Jahanabad', '25.22 N', '84.98 E', 'Bihar', 'Hindi'),
(236, 'Jamalpur', '25.32 N', '86.48 E', 'Bihar', 'Hindi'),
(237, 'Jamui', '24.92 N', '86.22 E', 'Bihar', 'Hindi'),
(238, 'Katihar', '25.55 N', '87.57 E', 'Bihar', 'Hindi'),
(239, 'Khagaria', '25.50 N', '86.48 E', 'Bihar', 'Hindi'),
(240, 'Khagaul', '25.58 N', '85.05 E', 'Bihar', 'Hindi'),
(241, 'Kishanganj', '26.11 N', '87.95 E', 'Bihar', 'Hindi'),
(242, 'Lakhisarai', '25.18 N', '86.09 E', 'Bihar', 'Hindi'),
(243, 'Madhipura', '25.92 N', '86.78 E', 'Bihar', 'Hindi'),
(244, 'Madhubani', '26.37 N', '86.06 E', 'Bihar', 'Hindi'),
(245, 'Masaurhi', '25.35 N', '85.03 E', 'Bihar', 'Hindi'),
(246, 'Mokama', '25.40 N', '85.92 E', 'Bihar', 'Hindi'),
(247, 'Motihari', '26.66 N', '84.91 E', 'Bihar', 'Hindi'),
(248, 'Munger', '25.39 N', '86.47 E', 'Bihar', 'Hindi'),
(249, 'Muzaffarpur', '26.13 N', '85.38 E', 'Bihar', 'Hindi'),
(250, 'Nawada', '24.88 N', '85.54 E', 'Bihar', 'Hindi'),
(251, 'Patna', '25.62 N', '85.13 E', 'Bihar', 'Hindi'),
(252, 'Phulwari', '25.60 N', '85.13 E', 'Bihar', 'Hindi'),
(253, 'Purnia', '25.78 N', '87.47 E', 'Bihar', 'Hindi'),
(254, 'Raxaul', '26.98 N', '84.85 E', 'Bihar', 'Hindi'),
(255, 'Saharsa', '25.88 N', '86.59 E', 'Bihar', 'Hindi'),
(256, 'Samastipur', '25.85 N', '85.78 E', 'Bihar', 'Hindi'),
(257, 'Sasaram', '24.96 N', '84.01 E', 'Bihar', 'Hindi'),
(258, 'Sitamarhi', '26.61 N', '85.48 E', 'Bihar', 'Hindi'),
(259, 'Siwan', '26.23 N', '84.35 E', 'Bihar', 'Hindi'),
(260, 'Supaul', '26.12 N', '86.60 E', 'Bihar', 'Hindi'),
(261, 'Chandigarh', '30.75 N', '76.78 E', 'Chandigarh', 'Hindi'),
(262, 'Ambikapur', '23.13 N', '83.20 E', 'Chhattisgarh', 'Hindi'),
(263, 'Bhilai', '21.21 N', '81.38 E', 'Chhattisgarh', 'Hindi'),
(264, 'Bilaspur', '22.09 N', '82.15 E', 'Chhattisgarh', 'Hindi'),
(265, 'Charoda', '21.23 N', '81.50 E', 'Chhattisgarh', 'Hindi'),
(266, 'Chirmiri', '23.21 N', '82.41 E', 'Chhattisgarh', 'Hindi'),
(267, 'Dhamtari', '20.71 N', '81.55 E', 'Chhattisgarh', 'Hindi'),
(268, 'Durg', '21.20 N', '81.28 E', 'Chhattisgarh', 'Hindi'),
(269, 'Jagdalpur', '19.09 N', '82.03 E', 'Chhattisgarh', 'Hindi'),
(270, 'Korba', '22.35 N', '82.69 E', 'Chhattisgarh', 'Hindi'),
(271, 'Raigarh', '21.90 N', '83.39 E', 'Chhattisgarh', 'Hindi'),
(272, 'Raipur', '21.24 N', '81.63 E', 'Chhattisgarh', 'Hindi'),
(273, 'Rajnandgaon', '21.10 N', '81.04 E', 'Chhattisgarh', 'Hindi'),
(274, 'Bhalswa Jahangirpur', '28.74 N', '77.17 E', 'Delhi', 'Hindi'),
(275, 'Burari', '28.75 N', '77.19 E', 'Delhi', 'Hindi'),
(276, 'Chilla Saroda Bangar', '28.35 N', '77.18 E', 'Delhi', 'Hindi'),
(277, 'Dallo Pura', '28.60 N', '77.31 E', 'Delhi', 'Hindi'),
(278, 'Delhi', '28.67 N', '77.21 E', 'Delhi', 'Hindi'),
(279, 'Deoli', '28.49 N', '77.22 E', 'Delhi', 'Hindi'),
(280, 'Dilli Cantonment', '28.57 N', '77.16 E', 'Delhi', 'Hindi'),
(281, 'Gharoli', '28.61 N', '77.32 E', 'Delhi', 'Hindi'),
(282, 'Gokalpur', '28.71 N', '77.28 E', 'Delhi', 'Hindi'),
(283, 'Hastsal', '28.63 N', '77.04 E', 'Delhi', 'Hindi'),
(284, 'Jaffrabad', '20.86 N', '71.36 E', 'Delhi', 'Hindi'),
(285, 'Karawal Nagar', '28.72 N', '77.27 E', 'Delhi', 'Hindi'),
(286, 'Khajuri Khas', '28.71 N', '77.26 E', 'Delhi', 'Hindi'),
(287, 'Kirari Suleman Nagar', '28.70 N', '77.04 E', 'Delhi', 'Hindi'),
(288, 'Kasaulli', '30.90 N', '76.46 E', 'Himachal Pradesh', 'Hindi'),
(289, 'Mithe Pur', '28.29 N', '77.19 E', 'Delhi', 'Hindi'),
(290, 'Molarband', '28.50 N', '77.31 E', 'Delhi', 'Hindi'),
(291, 'Mundka', '28.68 N', '77.03 E', 'Delhi', 'Hindi'),
(292, 'Mustafabad', '30.19 N', '77.14 E', 'Delhi', 'Hindi'),
(293, 'Nangloi Jat', '28.68 N', '77.07 E', 'Delhi', 'Hindi'),
(294, 'Ni Dilli', '28.60 N', '77.22 E', 'Delhi', 'Hindi'),
(295, 'Pul Pehlad', '28.49 N', '77.29 E', 'Delhi', 'Hindi'),
(296, 'Puth Kalan', '28.71 N', '77.07 E', 'Delhi', 'Hindi'),
(297, 'Roshan Pura', '28.60 N', '76.99 E', 'Delhi', 'Hindi'),
(298, 'Sadat Pur Gujran', '28.72 N', '77.26 E', 'Delhi', 'Hindi'),
(299, 'Sultanpur Majra', '28.76 N', '77.06 E', 'Delhi', 'Hindi'),
(300, 'Tajpul', '28.50 N', '77.21 E', 'Delhi', 'Hindi'),
(301, 'Tigri', '28.50 N', '77.22 E', 'Delhi', 'Hindi'),
(302, 'Ziauddin Pur', '28.63 N', '77.22 E', 'Delhi', 'Hindi'),
(303, 'Madgaon', '15.28 N', '73.94 E', 'Goa', 'Konkani'),
(304, 'Mormugao', '15.42 N', '73.78 E', 'Goa', 'Konkani'),
(305, 'Panaji', '15.50 N', '73.81 E', 'Goa', 'Konkani'),
(306, 'Ahmadabad', '23.03 N', '72.58 E', 'Gujarat', 'Gujarati'),
(307, 'Amreli', '21.61 N', '71.22 E', 'Gujarat', 'Gujarati'),
(308, 'Anand', '22.56 N', '72.95 E', 'Gujarat', 'Gujarati'),
(309, 'Anjar', '23.12 N', '70.02 E', 'Gujarat', 'Gujarati'),
(310, 'Bardoli', '21.12 N', '73.12 E', 'Gujarat', 'Gujarati'),
(311, 'Bharuch', '21.71 N', '72.97 E', 'Gujarat', 'Gujarati'),
(312, 'Bhavnagar', '21.79 N', '72.13 E', 'Gujarat', 'Gujarati'),
(313, 'Bhuj', '23.26 N', '69.66 E', 'Gujarat', 'Gujarati'),
(314, 'Borsad', '22.42 N', '72.90 E', 'Gujarat', 'Gujarati'),
(315, 'Botad', '22.18 N', '71.66 E', 'Gujarat', 'Gujarati'),
(316, 'Chandkheda', '23.15 N', '72.61 E', 'Gujarat', 'Gujarati'),
(317, 'Chandlodiya', '23.10 N', '72.56 E', 'Gujarat', 'Gujarati'),
(318, 'Dabhoi', '22.13 N', '73.41 E', 'Gujarat', 'Gujarati'),
(319, 'Dahod', '22.84 N', '74.25 E', 'Gujarat', 'Gujarati'),
